ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
11144,Ventil für Reifendruck-Kontrollsystem,,1 Unterboden,,1 Unterboden,,30000,,
11145,Ventil für Sekundärluftsystem,,2 Motorraum,,2 Motorraum,,,,
11146,Ventilfeder,,2 Motorraum,,2 Motorraum,,,,
11147,Ventilführung,,2 Motorraum,,2 Motorraum,,,,
11148,Verriegelungsknopf,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11149,Verschlussdeckel für Kühlmittelbehälter,,2 Motorraum,,2 Motorraum,,,,
11150,Wasserumwälzpumpe für Standheizung,,2 Motorraum,,2 Motorraum,,,,
11151,Wellendichtring für Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
11152,Wellendichtring für Automatikgetriebeflansch,,2 Motorraum,,2 Motorraum,,,,
11153,Wellendichtring für Differenzial,,2 Motorraum,,2 Motorraum,,,,
11154,Wellendichtring für Ölpumpe,,2 Motorraum,,2 Motorraum,,,,
11155,Wellendichtring für Radlager,,1 Unterboden,,1 Unterboden,,30000,,
11156,Wellendichtring für Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
11157,Wellendichtring für Schaltgetriebe,,2 Motorraum,,2 Motorraum,,,,
11158,Wellendichtring für Schaltgetriebeflansch,,2 Motorraum,,2 Motorraum,,,,
11159,Winkeltrieb für Tachowelle,,2 Motorraum,,2 Motorraum,,,,
11160,Zahnriemensatz,,2 Motorraum,,2 Motorraum,,,,
11161,Zentralausrücker für Kupplung,,2 Motorraum,,2 Motorraum,,,,
11162,Zentrierbuchse für Längswelle,,2 Motorraum,,2 Motorraum,,,,
11163,Zigarettenanzünder,,4 Innenraum,,4 Innenraum,,,,
11164,Zubehörsatz für Bremsbacken,,1 Unterboden,,1 Unterboden,,20031,,
11165,Zubehörsatz für Scheibenbremsbelag,,1 Unterboden,,1 Unterboden,,20031,,
11166,Zündleitung,,2 Motorraum,,2 Motorraum,,,,
11167,Zündverteiler,,2 Motorraum,,2 Motorraum,,,,
11168,Zylinderkopfschraube,,2 Motorraum,,2 Motorraum,,,,
11169,Wellendichtring für Antriebswelle,,1 Unterboden,,1 Unterboden,,30000,,
11170,Lagerbuchse für Querlenker,,1 Unterboden,,1 Unterboden,,30000,10469,
11171,Riemenscheibe für Wasserpumpe,,2 Motorraum,,2 Motorraum,,,,
11172,Reparatursatz für Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
11173,Sensor für Bremsbelagverschleiß,,1 Unterboden,,1 Unterboden,,20031,,
11174,Schlauch für Luftversorgung,,2 Motorraum,,2 Motorraum,,,,
11175,Schlauch für Zylinderkopfhaubenentlüftung,,2 Motorraum,,2 Motorraum,,,,
11176,Bremsensatz für Scheibenbremse,,1 Unterboden,,1 Unterboden,,20031,,
11177,Lagerung für Radlagergehäuse,,1 Unterboden,,1 Unterboden,,30000,,
11178,Filter für Kraftstoff-Fördereinheit,,2 Motorraum,,2 Motorraum,,,,
11179,Ausrückgabel für Kupplung,,2 Motorraum,,2 Motorraum,,,,
11180,Vorschalldämpfer,,1 Unterboden,,1 Unterboden,,,,
11181,Mittelschalldämpfer,,1 Unterboden,,1 Unterboden,,,,
11182,Endschalldämpfer,,1 Unterboden,,1 Unterboden,,,,
11183,Drehknopf für Sitzlehnenverstellung,,4 Innenraum,,4 Innenraum,,,,
11184,Seilzugsatz für Feststellbremse,,1 Unterboden,,1 Unterboden,,20031,,
11185,Dichtung für AGR-Ventil,,2 Motorraum,,2 Motorraum,,,,
11186,Keilrippenriemen,,2 Motorraum,,2 Motorraum,,,,
11187,Stellelement für Drallklappen (Saugrohr),,2 Motorraum,,2 Motorraum,,,,
11188,Umschaltventil für Umschaltklappe (Saugrohr),,2 Motorraum,,2 Motorraum,,,,
11189,Umschaltventil für Abgasklappe,,2 Motorraum,,2 Motorraum,,,,
11190,Druckwandler für Turbolader,,2 Motorraum,,2 Motorraum,,,,
11191,Anschlagpuffer für Achsschenkel,,1 Unterboden,,1 Unterboden,,30000,,
11192,Sensor für Wegstrecke,,2 Motorraum,,2 Motorraum,,,,
11193,Wellendichtring für Antriebswelle (Ölpumpe),,2 Motorraum,,2 Motorraum,,,,
11194,Kupplungsbetätigungssystem,,2 Motorraum,,2 Motorraum,,,,
11195,Dichtring für Einspritzventil,,2 Motorraum,,2 Motorraum,,,,
11196,Dichtung für Düsenhalter,,2 Motorraum,,2 Motorraum,,,,
11197,Drehzahlsensor für Motormanagement,,2 Motorraum,,2 Motorraum,,,,
11198,Einspritzventil,,2 Motorraum,,2 Motorraum,,,,
11199,Flansch für Zentraleinspritzung,,2 Motorraum,,2 Motorraum,,,,
11200,Stellelement für Drosselklappe,,2 Motorraum,,2 Motorraum,,,,
11201,Steuergerät für Einspritzanlage,,2 Motorraum,,2 Motorraum,,,,
11202,Ventil für Kraftstofffilter,,2 Motorraum,,2 Motorraum,,,,
11203,Flexrohr für Abgasanlage,,1 Unterboden,,1 Unterboden,,,,
11204,Dichtring für Abgaskrümmer,,2 Motorraum,,2 Motorraum,,,,
11205,Dichtung für Schaltgehäuse-Getriebe,,2 Motorraum,,2 Motorraum,,,,
11206,Kappe für Radmutter,,1 Unterboden,,1 Unterboden,,30000,,
11207,Filtersatz,,2 Motorraum,,2 Motorraum,,,,
11208,Lager für Schaltgetriebe,,2 Motorraum,,2 Motorraum,,,,
11209,Zubehör 1,,5 Sonstige,,5 Sonstige,,,,
11210,Zubehör 2,,5 Sonstige,,5 Sonstige,,,,
11211,Zubehör 3,,5 Sonstige,,5 Sonstige,,,,
11212,Zubehör 4,,5 Sonstige,,5 Sonstige,,,,
11213,Zubehör 5,,5 Sonstige,,5 Sonstige,,,,
11214,Fahrwerkskompressor,Kompressor Fahrwerk,1 Unterboden,,1 Unterboden,,30000,,
11215,Teilepaket Front,Teilepaket Vorderwagen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11216,Teilepaket Heck,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11217,Inspektionspaket,,2 Motorraum,,2 Motorraum,,,,
11218,Vorderachsträger,Achsträger vorne,1 Unterboden,,1 Unterboden,,,,
11219,Steuergerät Xenonlicht,,2 Motorraum,,2 Motorraum,,,,
11220,Federnsatz Hinterachse,,1 Unterboden,,1 Unterboden,,30000,,
11221,Stoßdämpfersatz Hinterachse,,1 Unterboden,,1 Unterboden,,30000,,
11222,Stoßdämpfersatz Vorderachse,,1 Unterboden,,1 Unterboden,,30000,,
11223,Zusatzbremsleuchte,Dritte Bremseleuchte; 3. Bremsleuchte,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
11224,Heckscheibenrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
11225,Hochdruckpumpe,,2 Motorraum,,2 Motorraum,,,,
11226,Zweimassenschwungrad,,2 Motorraum,,2 Motorraum,,,,
11227,Kühlpaket,,2 Motorraum,,2 Motorraum,,,,
11228,Wärmetauscher für Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
11229,Schleifring Lenkrad,,2 Motorraum,,2 Motorraum,,,,
11230,Schlossträger,,1 Unterboden,,1 Unterboden,,,,
11231,Rechner Navigationssystem,,4 Innenraum,,4 Innenraum,,,,
11232,Monitor Navigationssystem,,4 Innenraum,,4 Innenraum,,,,
11233,Frontscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11234,Anhängerkupplung,,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,,
11235,Sensor,,2 Motorraum,,2 Motorraum,,,,
11236,Kompressor,,2 Motorraum,,2 Motorraum,,,,
11237,Lader für Kompressormotor,,2 Motorraum,,2 Motorraum,,,,
11238,Motorabdeckung,,2 Motorraum,,2 Motorraum,,,,
11239,Zusatzwasserpumpe,,2 Motorraum,,2 Motorraum,,,,
11240,Hydraulik Zylinder,,2 Motorraum,,2 Motorraum,,,,
11241,Verdeckpumpe,,2 Motorraum,,2 Motorraum,,,,
11242,Verdeckgriff,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10340,
11243,Druckwandler,,2 Motorraum,,2 Motorraum,,,,
11244,Druckwandler Abgassteuerung,,2 Motorraum,,2 Motorraum,,,,
11245,Kraftstoffkühler,,2 Motorraum,,2 Motorraum,,,,
11246,Tankentlüftungsventil,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11247,Lesespule,,2 Motorraum,,2 Motorraum,,,,
11248,Unterfahrschutz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11249,Schalterleiste,,4 Innenraum,,4 Innenraum,,,,
11250,Schlossträger,Haubenträger; Schlosshaubenträger,2 Motorraum,,2 Motorraum,,20002,11899,
11251,Frontmaske,,2 Motorraum,,2 Motorraum,,,,
11252,Magnetventil,,2 Motorraum,,2 Motorraum,,,,
11253,Abgaskühler,,2 Motorraum,,2 Motorraum,,,,
11254,Armaturenbrett,,4 Innenraum,,4 Innenraum,,,,
11255,Bedienungsanleitung,,5 Sonstige,,5 Sonstige,,,,
11256,Befestigung Sonnenblende,,4 Innenraum,,4 Innenraum,,,,
11257,Display,,4 Innenraum,,4 Innenraum,,,,
11258,Druckleitung,,2 Motorraum,,2 Motorraum,,,,
11259,Frontschutzbügel,Rammschutz; Personenschutzbügel; Bullfänger; Frontbügel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11260,Getriebe Schiebedach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11261,Kompletträder,Rädersatz,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,,
11262,Kontrollleuchte ABS,Kontrolleuchte ABS,4 Innenraum,,4 Innenraum,,20031,,
11263,Kontrollleuchte Airbag,Kontrolleuchte Airbag,4 Innenraum,,4 Innenraum,,20020,,
11264,Kontrollleuchte Anhängerkupplung,Kontrolleuchte Anhängerkupplung,4 Innenraum,,5 Sonstige,Klassisches Zubehörteil,,,
11265,Kraftstofffiltergehäuse,,2 Motorraum,,2 Motorraum,,,,
11266,Ladebordwand,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11267,Relais,,2 Motorraum,,2 Motorraum,,,,
11268,Rußpartikelfilter,Partikelfilter,1 Unterboden,,1 Unterboden,,,,
11269,Schalter,,4 Innenraum,,4 Innenraum,,,,
11270,Schalter für Airbag,,4 Innenraum,,4 Innenraum,,20020,,
11271,Schalter für ESP,,4 Innenraum,,4 Innenraum,,,,
11272,Schalter für Frontscheibenheizung,,4 Innenraum,,4 Innenraum,,,,
11273,Schiebedachkurbel,,4 Innenraum,,4 Innenraum,,,,
11274,Sensor für Airbag,,2 Motorraum,,2 Motorraum,,20020,,
11275,Sensor für Einparkhilfe,,2 Motorraum,,2 Motorraum,,,,
11276,Sensor für Lenkwinkel,Lenkwinkelsensor,2 Motorraum,,2 Motorraum,,30000,,
11277,Sensor für MAP,,2 Motorraum,,2 Motorraum,,,,
11278,Stellelement für Heizung,Stellmotor Heizung,2 Motorraum,,2 Motorraum,,,,
11279,Steuergerät Differential,,2 Motorraum,,2 Motorraum,,,,
11280,Steuergerät ESP,,2 Motorraum,,2 Motorraum,,,,
11281,Steuergerät Sitz,,2 Motorraum,,2 Motorraum,,,,
11282,Steuergerät Tür,,2 Motorraum,,2 Motorraum,,,,
11283,Vorschaltgerät Xenon,,2 Motorraum,,2 Motorraum,,20003,,
11284,Widerstand Kühlergebläse,,2 Motorraum,,2 Motorraum,,,,
11285,Windschott,,4 Innenraum,,4 Innenraum,,,,
11286,Zusatzheizung,Heizelement Zusatzheizung,2 Motorraum,,2 Motorraum,,,,
11287,Batterieaufnahme,,2 Motorraum,,2 Motorraum,,,,
11288,Karosserieboden,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20006,,
11289,Dichtung für Ölkühler,,2 Motorraum,,2 Motorraum,,,,
11290,"Halterahmen, Scheibenreinigungsanlage",,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11291,Karosserieboden Koffer-/Laderaum,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
11292,Halter für Kühlergitter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
11293,Hauptscheinwerfergehäuse,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11294,Nebelscheinwerferrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
11295,Nachsteller für Trommelbremse,,1 Unterboden,,1 Unterboden,,20031,,
11296,Reserveradwanne,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
11297,Stoßfängerabdeckung für Anhängevorrichtung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no is auch 10571-10580, 10611"
11298,Trittbrettstufe für Anhängevorrichtung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11299,Dachsäule,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11300,Zier-/Schutzleistensatz für Stoßfänger,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no is auch 10571-10580, 10611"
11301,Nebelscheinwerferkappe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
11302,Rückstrahler,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
11303,Leuchtenaufnahme,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11304,Sportschalldämpfer,,1 Unterboden,,1 Unterboden,,,,
11305,Halter für Kraftstoffleitung,,2 Motorraum,,2 Motorraum,,,,
11306,Federaufnahme,,1 Unterboden,,1 Unterboden,,30000,,
11307,Spritzblech für Bremsscheibe,,1 Unterboden,,1 Unterboden,,20031,,
11308,Motorraumdämmung,,2 Motorraum,,2 Motorraum,,,,
11309,Abdeckung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11310,Gitter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11311,Haltersatz für Stoßfänger,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
11312,Bremsbelagsatz für Trommelbremse,,1 Unterboden,,1 Unterboden,,20031,,
11313,Zier-/Schutzleistensatz für Kühlergitter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11314,Reflektor für Positions-/Begrenzungsleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10662,
11315,Tagfahrleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,11320,
11316,Außenspiegelblende,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,"Parent Part auch 10584-10586, 10602-10605"
11317,Kühlmodul,,2 Motorraum,,2 Motorraum,,,,
11318,Lenkersatz Radaufhängung,,1 Unterboden,,1 Unterboden,,30000,,
11319,Kühlergittereinsatz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11320,Tagfahrleuchtensatz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11321,Viscolüfter,,2 Motorraum,,2 Motorraum,,,,
11322,Mapsensor,,2 Motorraum,,2 Motorraum,,,,
11323,Schalter für ASR,,4 Innenraum,,4 Innenraum,,,,
11324,Ersatzradhalter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11325,Persening,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11326,Abbiegelicht,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11327,Schalter für Tankklappe,,4 Innenraum,,4 Innenraum,,,,
11328,Radio Bedienschalter,,4 Innenraum,,4 Innenraum,,,,
11329,Stellmotor Tankklappe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11330,Relais für Kickdown,,2 Motorraum,,2 Motorraum,,,,
11331,Steuergerät Wegfahrsperre,,2 Motorraum,,2 Motorraum,,,,
11332,Schaltseil,,2 Motorraum,,2 Motorraum,,,,
11333,Schalter für Zentralverriegelung,,4 Innenraum,,4 Innenraum,,,,
11334,Radmutternsatz,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,,
11336,Kabelbaum,,2 Motorraum,,2 Motorraum,,,,
11337,Luftleitblech,,1 Unterboden,,1 Unterboden,,,,
11338,Einbaurahmen,,4 Innenraum,,4 Innenraum,,,,
11339,Resonator,Ansauggeräuschdämpfer; Resonanzkasten; Resonanzkörper,2 Motorraum,,2 Motorraum,,,,
11340,Überrollbügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11341,Inspektionspaket,Wartungspaket,5 Sonstige,,5 Sonstige,,,,
11342,Dichtung für Heckklappe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
11343,Gaspedal,,4 Innenraum,,4 Innenraum,,,,
11344,Türblatt,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
11345,Widerstand Heizung,Heizungswiderstand,4 Innenraum,,4 Innenraum,,,,
11346,Abdeckkappe Türgriff,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
11347,Abdeckung Drehstab,,1 Unterboden,,1 Unterboden,,,,
11348,Abdeckung Frontschürze,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11349,Abdeckung Griffmulde,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
11350,Abdeckung Handbremshebel,,4 Innenraum,,4 Innenraum,,20031,,
11351,Abstellvorrichtung für Einspritzanlage,,2 Motorraum,,2 Motorraum,,,,
11352,Achskörper,,1 Unterboden,,1 Unterboden,,30000,,
11353,Adapter für Lambdasonde,,1 Unterboden,,1 Unterboden,,,,
11354,Amperemeter,,2 Motorraum,,2 Motorraum,,,,
11355,Anhängebock für Anhängevorrichtung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11356,Anschlagpuffer für Fahrerhaus,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11357,Anschlussleitung für Außenspiegel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10609,"Parent Part auch 10584-10586, 10602-10605"
11358,Anschlussstutzen für Kraftstoffleitung,,2 Motorraum,,2 Motorraum,,,,
11359,Anschlussstutzen für Unterdruckleitung,,2 Motorraum,,2 Motorraum,,,,
11360,Anschraubplatte für Anhängevorrichtung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
11361,Antennenkopf,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11362,Antriebslager für Generator,,2 Motorraum,,2 Motorraum,,,,
11363,Anzeige für Öltemperatur,,4 Innenraum,,4 Innenraum,,,,
11364,Arbeitszylinder für Servolenkung,,1 Unterboden,,1 Unterboden,,30000,,
11365,Automatikgetriebeöl,,5 Sonstige,,5 Sonstige,,,,
11366,Be-/Entlüftungsventil für Kraftstoffbehälter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11367,Bedienschalter für Geschwindigkeitsregelanlage,,4 Innenraum,,4 Innenraum,,,,
11368,Befestigungsbolzen für Achsträger,,1 Unterboden,,1 Unterboden,,30000,,
11369,Befestigungsbolzen für Querlenker,,1 Unterboden,,1 Unterboden,,30000,,
11370,Bolzen für Bremsbackenrolle,,1 Unterboden,,1 Unterboden,,20031,,
11371,Bremsband für Automatikgetriebe,,1 Unterboden,,1 Unterboden,,20031,,
11372,Bremsensatz für Trommelbremse,,1 Unterboden,,1 Unterboden,,20031,,
11373,Bremsleitung,,1 Unterboden,,1 Unterboden,,20031,11374,
11374,Bremsleitungssatz,,1 Unterboden,,1 Unterboden,,20031,,
11375,Bremspedal,,4 Innenraum,,4 Innenraum,,20031,,
11376,Bremssattelhaltersatz,,1 Unterboden,,1 Unterboden,,20031,,
11377,Buchse für Achsschenkelbolzen,,1 Unterboden,,1 Unterboden,,30000,10882,
11378,Buchse für Federgehänge,,1 Unterboden,,1 Unterboden,,30000,,
11379,Clip für Zier-/Schutzleiste,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
11380,Deckel Kupplungsgehäuse,,2 Motorraum,,2 Motorraum,,,,
11381,Deckel Ölfiltergehäuse,,2 Motorraum,,2 Motorraum,,,,
11382,Dichtring für Antriebswellenlagerung,,1 Unterboden,,1 Unterboden,,,,
11383,Dichtring für Hydraulikfilter,,2 Motorraum,,2 Motorraum,,,,
11384,Dichtring für Kühlmittelrohrleitung,,2 Motorraum,,2 Motorraum,,,,
11385,Dichtring für Ölkühler,,2 Motorraum,,2 Motorraum,,,,
11386,Dichtring für Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
11387,Dichtring für Vergaser,,2 Motorraum,,2 Motorraum,,,,
11388,Dichtung für Ansaugkrümmergehäuse,,2 Motorraum,,2 Motorraum,,,,
11389,Dichtung für Automatikgetriebe,,1 Unterboden,,1 Unterboden,,,,
11390,Dichtung für Blinkleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10192,
11391,Dichtung für Bremssattelkolben,,1 Unterboden,,1 Unterboden,,20031,,
11392,Dichtung für Einspritzpumpe,,2 Motorraum,,2 Motorraum,,,,
11393,Dichtung für Faltdach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11394,Dichtung für Federbeinstützlager,,1 Unterboden,,1 Unterboden,,30000,10463,
11395,Dichtung für Gehäusedeckel Kurbelgehäuse,,2 Motorraum,,2 Motorraum,,,,
11396,Dichtung für Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11397,Dichtung für Heizklappenkasten,,2 Motorraum,,2 Motorraum,,,,
11398,Dichtung für Heizungsschlauch,,2 Motorraum,,2 Motorraum,,,,
11399,Dichtung für Kennzeichenleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10223,
11400,Dichtung für Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
11401,Dichtung für Kraftstoffeinfüllstutzen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
11402,Dichtung für Kraftstoffilter,,2 Motorraum,,2 Motorraum,,,,
11403,Dichtung für Kühlmittelrohrleitung,,2 Motorraum,,2 Motorraum,,,,
11404,Dichtung für Ladedruckregelventil,,2 Motorraum,,2 Motorraum,,,,
11405,Dichtung für Lader,,2 Motorraum,,2 Motorraum,,,,
11406,Dichtung für Ölsieb,,2 Motorraum,,2 Motorraum,,,,
11407,Dichtung für Ölsumpf,,2 Motorraum,,2 Motorraum,,,,
11408,Dichtung für Ölwanne Automatikgetriebe,,1 Unterboden,,1 Unterboden,,,,
11409,Dichtung für Rahmen Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
11410,Dichtung für Schiebedach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
11411,Dichtung für Schlussleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10223,
11412,Dichtung für Steuerkettenspanner,,2 Motorraum,,2 Motorraum,,,,
11413,Dichtung für Türscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
11414,Dichtung für Türsicherungsleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10355,
11415,Dichtung für Unterdruckpumpe,,2 Motorraum,,2 Motorraum,,,,
11416,Dichtung für Wärmetauscher,,2 Motorraum,,2 Motorraum,,,,
11417,Dichtung für Waschwasserpumpe/Waschwasserbehälter,,2 Motorraum,,2 Motorraum,,,,
11418,Dichtung für Zylinderlaufbuchse,,2 Motorraum,,2 Motorraum,,,,
11419,Dichtungssatz für Automatikgetriebe,,1 Unterboden,,1 Unterboden,,,,
11420,Dichtungssatz für Hydraulikpumpe,,2 Motorraum,,2 Motorraum,,,,
11421,Dichtungssatz für Lenkgetriebe,,1 Unterboden,,1 Unterboden,,30000,100504,Auch 10505
11422,Distanzplatte für Zylinderkopf,,2 Motorraum,,2 Motorraum,,,,
11423,Distanzring für Getriebeeingangswelle,,1 Unterboden,,1 Unterboden,,,,
11424,Distanzscheibe für Kurbelwelle,,2 Motorraum,,2 Motorraum,,,,
11425,Domstrebe,,3 Karosserie,Karosserie (Pflicht),2 Motorraum,Verbidet Federbeine im Motorraum,,,
11426,Drahtbügel für Abgasanlage,,1 Unterboden,,1 Unterboden,,,,
11427,Drahtring für Ausrückteller,,2 Motorraum,,2 Motorraum,,,,
11428,Drehstabgestänge,,1 Unterboden,,1 Unterboden,,,,
11429,Drehzahlsensor für Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
11430,Drehzahlsensor für Schaltgetriebe,,2 Motorraum,,2 Motorraum,,,,
11431,Druckleitung für Druckluftkompressor,,2 Motorraum,,2 Motorraum,,,,
11432,Druckregelventil für Common-Rail-System,,2 Motorraum,,2 Motorraum,,,,
11433,Druckschalter für Bremshydraulik,,3 Karosserie,Karosserie (Pflicht),2 Motorraum,Position an Hydraukikeinheit,20031,,
11434,Drucksensor für Bremskraftverstärker,,2 Motorraum,,2 Motorraum,,20031,,
11435,Drucksensor für Kraftstoffbehälter,,2 Motorraum,,2 Motorraum,,,,
11436,Druckspeicher für Bremsanlage,,1 Unterboden,,1 Unterboden,,20031,,
11437,Düsenkörper,,2 Motorraum,,2 Motorraum,,,,
11438,Einfüllstutzen für Kraftstoffbehälter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
11439,Einspritzdüse für Expansionsventil,,2 Motorraum,,2 Motorraum,,,,
11440,Einstellscheibe für Lenkspindel,,1 Unterboden,,1 Unterboden,,30000,,
11441,Elektromotor für Gebläse Steuergerätebox,,2 Motorraum,,2 Motorraum,,,,
11442,Elektromotor für Scheinwerferreinigung,,2 Motorraum,,2 Motorraum,,,,
11443,Entlüftungsschlauch für Ausgleichsbehälter,,2 Motorraum,,2 Motorraum,,,,
11444,Fahrpedal,,4 Innenraum,,4 Innenraum,,,,
11445,Fahrwerkssatz für Federn/Dämpfer,,1 Unterboden,,1 Unterboden,,30000,,
11446,Fahrwerkssatz für Stoßdämpfer,,1 Unterboden,,1 Unterboden,,30000,,
11447,Faltenbalg für Wischergestänge,,2 Motorraum,,2 Motorraum,,,,
11448,Feder für Abgasrohr,,1 Unterboden,,1 Unterboden,,,,
11449,Feder für Bremsbacken,,1 Unterboden,,1 Unterboden,,20031,,
11450,Feder für Bremssattel,,1 Unterboden,,1 Unterboden,,20031,,
11451,Feder für Gasgestänge,,2 Motorraum,,2 Motorraum,,,,
11452,Federbeinaufnahme,,1 Unterboden,,1 Unterboden,,30000,,
11453,Federbock,,1 Unterboden,,1 Unterboden,,30000,,
11454,Federbride,,1 Unterboden,,1 Unterboden,,30000,,
11455,Federnpaket,,1 Unterboden,,1 Unterboden,,30000,,
11456,Flansch für Abgasrohr,,1 Unterboden,,1 Unterboden,,,,
11457,Flansch für Kraftstofffördereinheit,,2 Motorraum,,2 Motorraum,,,,
11458,Flansch für Lenksäule,,2 Motorraum,,2 Motorraum,,30000,,
11459,Flexible Kupplungsmuffe,,2 Motorraum,,2 Motorraum,,,,
11460,Flexible Kupplungsmuffe Satz,,2 Motorraum,,2 Motorraum,,,,
11461,Freilauf für Klimakompressor,,2 Motorraum,,2 Motorraum,,,,
11462,Freilaufgetriebe für Starter,,2 Motorraum,,2 Motorraum,,,,
